metodo,variavel,seed,miss_rate,n_avaliado,RMSE,MAE,RMSE_norm,MAE_norm
ffill_estacao,Sólidos Suspensos Totais,42,0.2,4,43.94883388669146,37.0,0.47525086534515626,0.3990169175184252
ffill_estacao,DBO,7,0.2,14,6.599192591305613,5.090000000000002,0.26830546493254337,0.21024321869626347
ffill_estacao,OD,7,0.2,13,4.579973127230536,2.653846153846155,0.4176909681678166,0.24021300942205853
ffill_estacao,Nitrato,7,0.2,21,0.14766435556613486,0.08904761904761903,0.8565061476050168,0.6132587247360414
ffill_estacao,Nitrogênio Amoniacal Total,7,0.2,13,3.969471966434287,3.4723076923076914,0.6088664221785536,0.5436407216242615
ffill_estacao,Fósforo Total,7,0.2,9,0.2272785857830771,0.09444444444444443,0.111650509336644,0.04079748996815528
ffill_estacao,Condutividade,7,0.2,11,17507.040612279394,9471.727272727272,0.545492634519829,0.2951245489103032
ffill_estacao,pH,7,0.2,16,0.855792761128534,0.6331249999999999,0.3803523382793484,0.2813888888888888
ffill_estacao,Turbidez,7,0.2,18,20.72737977222935,11.633888888888892,0.21334411831229572,0.14518313262814064
ffill_estacao,Temperatura da Água,7,0.2,15,3.238621105758848,2.26,0.32386211057588477,0.22599999999999998
ffill_estacao,Sólidos Suspensos Totais,7,0.2,5,54.799635035281035,54.2,0.5531732893187387,0.5517497805708873
ffill_estacao,DBO,2026,0.2,13,7.280393057859116,4.713846153846157,0.21959005907946408,0.14593116852895557
ffill_estacao,OD,2026,0.2,14,3.490701935141412,2.5357142857142856,0.3272294250593211,0.2304244936570515
ffill_estacao,Nitrato,2026,0.2,11,0.22625408082708495,0.17,0.9583544939578974,0.7964630507029784
ffill_estacao,Nitrogênio Amoniacal Total,2026,0.2,10,4.176825349472972,3.1870000000000016,0.6642880136990915,0.501095832759664
ffill_estacao,Fósforo Total,2026,0.2,9,0.4461066140633998,0.3322222222222223,0.10081518458050931,0.08281885849050966
ffill_estacao,Condutividade,2026,0.2,12,13512.291752943564,8680.416666666666,0.4210223640849867,0.2704685195571342
ffill_estacao,pH,2026,0.2,15,0.6986844781444627,0.3853333333333334,0.31052643473087227,0.17125925925925925
ffill_estacao,Turbidez,2026,0.2,14,191.43737174334578,58.55142857142853,0.143987157964303,0.08733728632873182
ffill_estacao,Temperatura da Água,2026,0.2,12,2.8101008285587663,2.0999999999999996,0.28101008285587664,0.21
ffill_estacao,Sólidos Suspensos Totais,2026,0.2,1,19.999999999999986,19.999999999999986,0.13928111737416238,0.13928111737416238
