metodo,variavel,n,KS_stat,KS_pvalue,sd_real,sd_imputado,sd_ratio,preserva_dist_5pct
missforest,DBO,43,0.13953488372093023,0.8029323753937533,11.764887093712211,5.783905818761262,0.49162442212067575,True
missforest,OD,37,0.21621621621621623,0.35648804035053694,3.123520670874675,2.9783525776692743,0.953524209217175,True
missforest,Nitrato,43,0.20930232558139536,0.3056291974814141,0.1448801391031006,0.1863338034334054,1.2861238578795486,True
missforest,Nitrogênio Amoniacal Total,40,0.35,0.01430154804770646,2.5812713524292246,1.941304383284709,0.752072958721583,False
missforest,Fósforo Total,32,0.15625,0.8377774792588215,214.2094414575981,0.37879675058132556,0.0017683475947828698,True
missforest,Condutividade,41,0.17073170731707318,0.5945211330032322,15614.87313390041,11053.287962923461,0.7078692134184814,True
missforest,pH,53,0.2641509433962264,0.04912933177517805,0.6731963485176333,0.4651358552731317,0.6909363906939674,False
missforest,Turbidez,54,0.24074074074074073,0.08735018691301626,165.75048746514622,25.79891908904297,0.15564912950538337,True
missforest,Temperatura da Água,47,0.40425531914893614,0.0008060279194562179,3.5318885624777763,4.565710267830048,1.2927107373475566,False
missforest,Sólidos Suspensos Totais,10,0.5,0.16782134274394334,29.600300298777,31.734529798784305,1.0721016164858126,True
media_estacao,DBO,43,0.3023255813953488,0.038707326753354344,11.764887093712211,6.13141058479542,0.5211618722692525,False
media_estacao,OD,37,0.7837837837837838,1.726271215776404e-11,3.123520670874675,0.7210332682527814,0.23083992207129253,False
media_estacao,Nitrato,43,0.5581395348837209,1.6454311847309056e-06,0.1448801391031006,0.004452248644580545,0.030730565777633643,False
media_estacao,Nitrogênio Amoniacal Total,40,0.525,2.156357811320459e-05,2.5812713524292246,1.4610147895340193,0.566005890143655,False
media_estacao,Fósforo Total,32,0.3125,0.08768209741820022,214.2094414575981,0.33499849777083673,0.0015638829712235085,True
media_estacao,Condutividade,41,0.1951219512195122,0.42017824559389316,15614.87313390041,11347.63893244299,0.7267198929594174,True
media_estacao,pH,53,0.5094339622641509,1.2662858968090528e-06,0.6731963485176333,0.08103853122481317,0.12037874448258462,False
media_estacao,Turbidez,54,0.2962962962962963,0.017011414766331192,165.75048746514622,17.701716274358578,0.106797370825717,False
media_estacao,Temperatura da Água,47,0.46808510638297873,5.039789792997016e-05,3.5318885624777763,0.6126115892138574,0.1734515623516964,False
media_estacao,Sólidos Suspensos Totais,10,0.6,0.05244755244755244,29.600300298777,8.187827917075342,0.2766130017070685,True
media_global,DBO,43,0.627906976744186,2.912719799057814e-08,11.764887093712211,0.0,0.0,False
media_global,OD,37,0.7837837837837838,1.726271215776404e-11,3.123520670874675,1.8008594705238024e-15,5.765479599081732e-16,False
media_global,Nitrato,43,0.6744186046511628,1.3674740840647012e-09,0.1448801391031006,7.0210138499607e-18,4.846084420835873e-17,False
media_global,Nitrogênio Amoniacal Total,40,0.675,5.862607555414685e-09,2.5812713524292246,0.0,0.0,False
media_global,Fósforo Total,32,0.8125,8.182187097179429e-11,214.2094414575981,0.0,0.0,False
media_global,Condutividade,41,0.5121951219512195,2.9232560329271698e-05,15614.87313390041,0.0,0.0,False
media_global,pH,53,0.5849056603773585,9.811331612316002e-09,0.6731963485176333,2.690033785141078e-15,3.995912620537063e-15,False
media_global,Turbidez,54,0.6296296296296297,2.3617729712556523e-10,165.75048746514622,0.0,0.0,False
media_global,Temperatura da Água,47,0.5319148936170213,1.943580906085368e-06,3.5318885624777763,3.591122510490584e-15,1.0167711826024467e-15,False
media_global,Sólidos Suspensos Totais,10,0.7,0.012340600575894691,29.600300298777,0.0,0.0,False
mediana_global,DBO,43,0.5813953488372093,4.59752831027753e-07,11.764887093712211,0.0,0.0,False
