metodo,variavel,seed,miss_rate,n_avaliado,RMSE,MAE,RMSE_norm,MAE_norm
media_estacao,DBO,2026,0.2,13,6.90698153877982,5.802415417029867,0.20348589691565885,0.14991832798996893
media_estacao,OD,2026,0.2,14,4.3917329584788565,3.8585652862060584,0.41451956842945353,0.38128588246082706
media_estacao,Nitrato,2026,0.2,11,0.13719405234594373,0.07366689511892636,0.6251072813875527,0.5470162684249926
media_estacao,Nitrogênio Amoniacal Total,2026,0.2,10,2.7010841712852653,2.380106520611041,0.5034763269379315,0.4205136784320313
media_estacao,Fósforo Total,2026,0.2,9,0.3956305797129746,0.2819372346385596,0.08353489595895552,0.06515575916476399
media_estacao,Condutividade,2026,0.2,12,7511.506800388667,5610.620125884313,0.23404707423159055,0.17481835003066962
media_estacao,pH,2026,0.2,15,0.5705022353787066,0.48559056860742256,0.25355654905720293,0.21581803049218778
media_estacao,Turbidez,2026,0.2,14,225.10189774791723,71.07224285591056,0.2380067723805663,0.15283771572428578
media_estacao,Temperatura da Água,2026,0.2,12,3.733392274839709,3.2602893155694876,0.3733392274839709,0.3260289315569488
media_estacao,Sólidos Suspensos Totais,2026,0.2,1,36.05347091236564,36.05347091236564,0.2710900814445762,0.2710900814445762
media_global,DBO,42,0.2,16,16.852761223909535,8.473370424479103,0.2656326047318528,0.18721683794445482
media_global,OD,42,0.2,10,3.7640482539427023,3.2938482106425377,0.3537390647687192,0.3225742741033851
media_global,Nitrato,42,0.2,11,0.22145495228703616,0.13857143337986025,0.7006299109223127,0.6217935343861801
media_global,Nitrogênio Amoniacal Total,42,0.2,17,2.8482014389845305,2.699499377362304,0.5970466525502327,0.5219203679913677
media_global,Fósforo Total,42,0.2,14,325.8111202857355,101.68153655957397,0.38261705380068906,0.2156149910798794
media_global,Condutividade,42,0.2,18,16196.110097643388,13343.915334632879,0.5046460428006291,0.41577601217152366
media_global,pH,42,0.2,22,0.6545637546302118,0.48324982104509656,0.29091722428009403,0.2147776982422652
